TF	NES	size	p.value	FDR
HOXD8	2.50515557646153	14	0.0122397542237703	0.599914019207875
IKZF3	-2.50101551558845	8	0.0123837752857696	0.599914019207875
OTX1	2.49657556829915	7	0.0125398946949649	0.599914019207875
SCML4	-2.49151190476421	87	0.0127200704269914	0.599914019207875
IRF2BPL	2.46297368040395	20	0.0137790030209906	0.618031046057396
FOXD2	-2.4592069445336	60	0.0139244327433932	0.618031046057396
EPAS1	2.4526406404154	13	0.0141811931200688	0.618031046057396
RUNX2	2.44905381268331	5	0.0143232047163203	0.618031046057396
MAGED4B	2.42289817131141	13	0.0153972419485486	0.619579617140288
ZNF281	2.40963324424127	28	0.0159685639081047	0.619579617140288
PITX2	-2.40730676703501	58	0.0160706642751157	0.619579617140288
LPIN2	2.39866155086704	50	0.0164551160983676	0.619579617140288
RHOXF1	2.39782424700663	23	0.0164927765804759	0.619579617140288
PHC2	2.3915335901531	58	0.0167781486011334	0.619579617140288
GLI3	2.3778322086639	49	0.017414748264556	0.619579617140288
HES1	-2.37255380880036	36	0.0176655897972613	0.619579617140288
CREBL2	2.37225779312394	11	0.0176797504393973	0.619579617140288
SNAI2	2.36007004198812	34	0.0182714849001662	0.619579617140288
NFE2L1	2.34922286401266	24	0.0188126428511957	0.619579617140288
BMP4	2.34849963715779	63	0.0188492175642085	0.619579617140288
PRRX2	2.33554146289169	36	0.0195151525077193	0.619579617140288
TRERF1	2.32860361555647	3	0.0198800743530265	0.619579617140288
FOXJ2	2.32608155530617	11	0.0200142003278607	0.619579617140288
CDK14	2.3110769426716	13	0.0208286053152783	0.619579617140288
CDX1	-2.31010285948899	102	0.0208824601766926	0.619579617140288
GON4L	2.30894288679577	25	0.0209467507286175	0.619579617140288
SPIB	-2.30518302182163	42	0.0211563253325092	0.619579617140288
RNF10	2.29702651824142	20	0.0216172570184502	0.619579617140288
ZNF25	2.2957405729139	19	0.0216907191192533	0.619579617140288
TWIST1	2.29258685177219	22	0.0218718020657104	0.619579617140288
BCL6	2.2837970218979	25	0.0223834627858485	0.619579617140288
TBX5	2.28260924549524	23	0.0224533958731438	0.619579617140288
VGLL4	2.27994911875027	36	0.0226107063768273	0.619579617140288
SOX11	2.27927482312375	19	0.0226507336874865	0.619579617140288
ZNF355P	-2.27762542340513	31	0.0227489044399094	0.619579617140288
PRDM8	2.27100646729004	43	0.0231465864452308	0.619579617140288
KLF17	2.26647734433177	6	0.0234221727558395	0.619579617140288
NPM1	-2.26118750711833	99	0.0237476483836642	0.619579617140288
CEBPA	-2.25985928931573	46	0.0238299852746264	0.619579617140288
ZNF20	-2.24614281106228	8	0.0246948619412719	0.626218316070018
LHX9	2.2399786188616	54	0.0250923109799979	0.626218316070018
ATF7	2.23626697743779	6	0.0253342882047005	0.626218316070018
HOPX	2.22094294367968	64	0.0263548261165764	0.626218316070018
ZNF438	2.22044694565658	14	0.026388443308821	0.626218316070018
CYTL1	2.21890816031737	30	0.026492973240568	0.626218316070018
ARID1A	2.21509958517986	19	0.0267532299131287	0.626218316070018
HIVEP3	2.21194912310792	29	0.0269701805043694	0.626218316070018
CASZ1	2.2051565972516	20	0.0274431076647866	0.626218316070018
ETV3	2.20131182401114	17	0.027713956383876	0.626218316070018
ID1	-2.19859586802359	18	0.0279066710437901	0.626218316070018
HCFC2	2.19213850290382	22	0.0283695073223054	0.626218316070018
POU2AF1	-2.19207441168113	45	0.0283741340539518	0.626218316070018
ETS2	-2.18220510847807	17	0.0290943984563581	0.626218316070018
HOXD11	-2.16848738770055	18	0.0301216232020756	0.626218316070018
CRY2	2.16758322476876	21	0.0301904112362062	0.626218316070018
MYB	-2.16742418413921	40	0.0302025248775111	0.626218316070018
ZEB2	2.16619464531358	91	0.0302963161492429	0.626218316070018
CDX2	-2.16285256044848	54	0.0305525214940355	0.626218316070018
KLF9	2.16280782136825	11	0.0305559637905086	0.626218316070018
SATB2	-2.16251152042496	81	0.0305787700690544	0.626218316070018
SAMD13	-2.15863345436068	91	0.0308786151908293	0.626218316070018
MPND	-2.13958251513561	25	0.0323885209037269	0.644118047455408
HDGFL1	-2.13709617331538	20	0.0325901701437905	0.644118047455408
CRTC2	2.13557486106922	45	0.0327140822918674	0.644118047455408
FOXP4	2.1266255498623	24	0.0334512078718897	0.648125148340996
ZMYND15	2.12512270288433	53	0.0335763756611726	0.648125148340996
SSBP2	2.11760371463659	6	0.0342086433274548	0.648125148340996
GRHL3	2.1150063543147	92	0.034429405741399	0.648125148340996
BHLHE41	2.11399680221087	24	0.0345155404441951	0.648125148340996
ZBTB46	2.1079278880461	40	0.0350372275127487	0.651371684462891
FOXE3	-2.10454640317103	27	0.0353308112874349	0.651371684462891
