TF	NES	p_value	FDR	regulon_size	logFC	AveExpr	t	P.Value	adj.P.Val	B	category
BHLHE41	0.203501771531693	0.838742861169949	0.907492276019945	60	0.0236542543375205	3.97056082342952	0.283923156912077	0.776526815627419	0.795975145705746	-8.15787275544331	Non-Significant
BICRA	-1.09455235023669	0.273712800740041	0.434893862993745	58	0.0740129231442592	4.13486456244416	1.68524554196852	0.0922466802851765	0.10771084525606	-6.7970694248456	Non-Significant
BICRAL	2.65472677142854	0.00793726695134124	0.040197148966446	51	0.423944596107736	4.67945412613012	11.4403404592066	1.33281628053165e-28	1.21016460050656e-27	53.3192094076222	LogFC Non-Significant
BMI1	-0.0472111393860035	0.962344949476811	0.9800685747285	57	0.129312671833685	5.17993248800118	3.4215466977018	0.000647326308766213	0.000927156746066611	-2.50693271597095	Non-Significant
BMP2	2.49830549076514	0.0124788603602342	0.0557461753210461	59	0.519641170089185	3.73671778631115	5.45522451921183	6.13642398439993e-08	1.251610612716e-07	6.49602157116771	VIPER Significant
BMP4	1.38906850614799	0.16481191942728	0.31338772039797	53	1.0493493596248	2.79686798882671	11.0121207136088	9.94630829588987e-27	8.36156829961589e-26	49.2159019645806	VIPER Significant
BNC1	-3.86723353703655	0.000110077002006699	0.0111506849976282	268	-7.30955540615685	0.614081747565514	-46.8837983439046	7.14712505492631e-257	7.07887001065176e-253	577.428168794299	LUSC
BNC2	0.0332702582772809	0.97345907108059	0.986276028501488	155	0.207356170816413	2.47611645799183	2.51611704658662	0.0120179605563203	0.0153791283615161	-4.89135605247459	Non-Significant
BPTF	0.411855678191445	0.680445208571575	0.808332710699179	93	0.101065281298252	6.2165429440082	2.36525166738369	0.0182038953246302	0.0228923922349923	-5.65875303967417	Non-Significant
BRCA1	-2.47620876677097	0.0132785908523465	0.0575593154319936	152	-0.757174097664305	4.19001016338549	-12.2844228856166	1.89043719604163e-32	1.98135822308935e-31	62.1680010523445	VIPER Significant
BRCA2	-2.35360380864202	0.0185924156867967	0.0730370062309206	73	-0.613778359755496	3.19790059771153	-11.1614963489749	2.24160194805741e-27	1.93228429021189e-26	50.6583695572889	VIPER Significant
BRD1	-1.57118636302276	0.116139366729437	0.24623952780148	40	-0.225695163211388	5.59220235053575	-5.80053046795418	8.80953569197927e-09	1.96238202851508e-08	8.18293128726948	Non-Significant
BRD2	-1.11966969221781	0.26285454491688	0.424802842732967	27	-0.154978896962721	7.88741719061355	-5.17725363353472	2.71099925379112e-07	5.19229575399783e-07	4.57836313085327	Non-Significant
BRD3	-0.840382602599675	0.400693900452748	0.56594386320953	38	-0.0934010301231512	5.04288610240211	-2.26117886257397	0.0239578732854034	0.0297904363854132	-5.76305426867146	Non-Significant
BRD4	-3.03520865668817	0.00240369329271968	0.0195683419606718	51	-0.526255658295596	6.90592102243924	-14.5342203505264	1.21342435139996e-43	1.94734455659318e-42	87.5244199280144	LUSC
BRD7	-1.13590555096147	0.255996094889077	0.416019070804648	51	-0.145795924468161	5.93582634882767	-4.95171396113913	8.60269709930339e-07	1.5771478652485e-06	3.70438622712407	Non-Significant
BRD9	-1.38113574124804	0.167237227962556	0.315652553885046	57	-0.259156073199374	5.79228478273574	-6.05318518130722	1.99195525986706e-09	4.77476303759761e-09	9.60842745766246	Non-Significant
BRDT	2.39413539606698	0.0166595976791422	0.0677644867823556	167	1.60456063825198	-2.06230329207941	6.65766193792727	4.53438141514314e-11	1.33775844887907e-10	13.9931628566839	VIPER Significant
BRMS1	-1.45662747309459	0.145219239802191	0.286241391748826	109	-0.230219322819816	5.74805466747224	-7.14840223120168	1.66965286177993e-12	6.75350262843697e-12	16.5483247175425	Non-Significant
BRMS1L	-1.06573971527029	0.286541319134006	0.449495682685528	78	-0.193823931772995	3.61989127085117	-4.21989556004586	2.66153650930622e-05	4.2859074934571e-05	0.666809795393284	Non-Significant
BRPF1	0.406028412105366	0.684721724413317	0.812139506173708	38	0.0380924488704331	4.61274879229653	1.22343048562681	0.221449325888806	0.246900979148498	-7.51866309066384	Non-Significant
BRPF3	2.26125313200256	0.0237435866701272	0.0861336495160998	61	0.630683697669831	5.79739406688338	14.3009571643701	2.0107479156482e-42	3.08503765109298e-41	84.8504531377238	VIPER Significant
BRWD1	1.2939679364978	0.195676496244871	0.346626936205199	66	0.155938537468247	5.76772041485447	4.34215898392486	1.5513974489801e-05	2.54928511545804e-05	0.948863033530824	Non-Significant
BRWD3	-0.180243126549753	0.85696170272619	0.921842084005145	42	-0.102502828476027	4.62658696121789	-2.2538864928429	0.0244146422528377	0.0303298481334404	-5.73371225820737	Non-Significant
BSX	1.823302941669	0.0682575210305721	0.173102022179598	335	0.248178327255593	-6.2649463837591	4.18517997526764	3.09470908842684e-05	4.95725698800351e-05	0.468073992363529	Non-Significant
BTBD18	0.812446906150663	0.416535240449309	0.58053889779243	386	0.163953462511279	-4.02850140699664	1.82575948350536	0.0681783717519093	0.0806889868779143	-5.96002324219864	Non-Significant
CALCOCO1	3.19491507368122	0.00139871993122238	0.01538751142513	137	0.45607514709693	5.94844438921924	10.759934663541	1.18800291105785e-25	9.5650249282529e-25	46.4437545631726	LogFC Non-Significant
CAMTA1	-0.385514814804108	0.699856032486409	0.819636773020717	122	-0.00435583758714869	4.91343607838296	-0.130268150070035	0.896379929322937	0.906246513437805	-8.2912579632913	Non-Significant
CAMTA2	1.33192853652286	0.182883672784245	0.333791252913974	51	0.286965568044606	4.78176846063002	8.32194072903292	2.7495421592258e-16	1.43330738505537e-15	25.2298393834836	Non-Significant
CARF	1.93174846189479	0.0533905600800418	0.148621885610565	165	0.305716744150724	2.87251655938206	6.78932476576253	1.90790766917537e-11	5.90219828506426e-11	14.4570628662256	Non-Significant
CASZ1	-0.881243712261393	0.378185924607231	0.543376686619659	37	-0.274099035311948	3.93722976671462	-4.42401554608719	1.07275970505651e-05	1.78704072973015e-05	1.50085154020481	Non-Significant
CBFA2T2	-2.37737318262851	0.0174364375488984	0.0698139945695621	110	-0.404521028036642	5.39359655185744	-9.19110909976598	2.11892351698373e-19	1.2938889009843e-18	32.2452549981156	Non-Significant
CBFA2T3	0.319777652650774	0.749136889414011	0.850629351343665	116	-0.256120785404376	2.23159515408032	-3.28647472679673	0.00104903768888927	0.00147654396479531	-2.65132817117744	Non-Significant
CBFB	-1.40986719269495	0.158578901522254	0.305798711135279	28	-0.142553383348987	6.02513877997613	-4.86672883411251	1.31362699432755e-06	2.36955262989539e-06	3.2861721158488	Non-Significant
CBX1	-2.34419917288614	0.0190679857419172	0.0742531632443595	73	-0.482287271401959	6.47404424943313	-11.6853856623345	1.06825103177954e-29	1.01378080590167e-28	55.6332015655119	Non-Significant
CBX2	-3.22043591169735	0.00127995807763505	0.0149645384390932	67	-1.25900752603662	4.15745982471769	-13.4754912670073	3.25325866807325e-38	4.26027771854537e-37	75.3671719997676	LUSC
CBX3	-0.98816612153491	0.323071297106982	0.484251922257059	165	-0.0199617636525701	7.69519286406999	-0.587721210974945	0.556849349570882	0.585532266062372	-8.46178793707551	Non-Significant
CBX4	1.16032748688635	0.245915497507423	0.403806667656652	43	0.247825626483556	5.31254679574067	6.28969767201291	4.70867738953816e-10	1.21582694428887e-09	11.070259319127	Non-Significant
