dataset	canonical_drug
PRISM	CID:25182616
PRISM	CID:11646777
PRISM	CID:25067547
PRISM	CID:64971
PRISM	CID:40839
PRISM	CID:24771824
PRISM	CID:51001932
PRISM	CID:44603533
PRISM	CID:10127622
PRISM	CID:22024915
PRISM	CID:5833
PRISM	CID:60838
PRISM	CID:9865515
PRISM	CID:446541
PRISM	CID:11455910
PRISM	CID:114917
PRISM	CID:44139710
PRISM	CID:77262
PRISM	CID:25260757
PRISM	CID:42633508
PRISM	CID:2210
PRISM	CID:4567
PRISM	CID:115067
PRISM	CID:872445
PRISM	CID:3025986
PRISM	CID:452548
PRISM	CID:135398495
PRISM	CID:1102
PRISM	CID:4883
PRISM	CID:25099184
PRISM	CID:398148
PRISM	CID:3385203
PRISM	CID:148195
PRISM	CID:54724399
PRISM	NAME:SGI1776
PRISM	CID:16490
PRISM	CID:11224409
PRISM	CID:394449
PRISM	CID:11382492
PRISM	CID:5284616
PRISM	CID:16007391
PRISM	CID:10177
PRISM	CID:5081913
PRISM	CID:5330790
PRISM	CID:62959
PRISM	CID:16682730
PRISM	CID:24905142
PRISM	CID:16048966
PRISM	CID:115210
PRISM	CID:25262792
PRISM	CID:11349170
PRISM	CID:2126
PRISM	CID:16118392
PRISM	CID:5281304
PRISM	CID:11749858
PRISM	CID:9818682
