cohort	cohort_label	score	TF	n	pearson_r	p_value	FDR	anchor_display_support
GSE41271_LUAD	GSE41271 patients	TumorPurity	ZNF117	183	0.0520010934333449	0.4844828266895	0.4844828266895	FALSE
GSE41271_LUAD	GSE41271 patients	TumorPurity	ZNF141	183	0.201851479266406	0.0061411343638123	0.00995639520404132	FALSE
GSE41271_LUAD	GSE41271 patients	TumorPurity	ZNF19	183	0.430475886280044	1.18443434541872e-09	1.41743929372199e-08	TRUE
GSE41271_LUAD	GSE41271 patients	TumorPurity	ZNF254	183	0.287185325955241	8.09031647985254e-05	0.000208999842396191	FALSE
GSE41271_LUAD	GSE41271 patients	TumorPurity	ZNF281	183	0.0953439029200236	0.199184846911213	0.220526080508843	FALSE
GSE41271_LUAD	GSE41271 patients	TumorPurity	ZNF33A	183	0.16795062861917	0.0230507062694773	0.0310683432327738	FALSE
GSE41271_LUAD	GSE41271 patients	TumorPurity	ZNF33B	183	0.206008387153321	0.00514506579316104	0.00886094664377735	FALSE
GSE41271_LUAD	GSE41271 patients	TumorPurity	ZNF341	183	0.487013383686869	2.73354294907437e-12	8.47398314213054e-11	TRUE
GSE41271_LUAD	GSE41271 patients	TumorPurity	ZNF444	183	0.372463654417942	2.07920965761169e-07	1.61138748464906e-06	FALSE
GSE41271_LUAD	GSE41271 patients	TumorPurity	ZNF540	183	-0.106555130023667	0.151097806296547	0.173482666488628	FALSE
GSE41271_LUAD	GSE41271 patients	TumorPurity	ZNF678	183	0.312112201242572	1.69887012375357e-05	5.82561645248656e-05	FALSE
GSE41271_LUAD	GSE41271 patients	TumorPurity	ZNF75D	183	0.178481652727766	0.015633833505056	0.0220294926662152	FALSE
