analysis_definition	TF	patient_promoter_accessible	PDX_promoter_accessible	cell_line_promoter_accessible	triple_system_promoter_accessible	all_three_system_mean_NES_negative	retained_by_anchor_activity_rule	HC_TF_promoter_activity_definition	exclusion_reason
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF444	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF467	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF483	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF486	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF493	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF540	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF541	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF597	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF608	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF620	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF662	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF671	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF678	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF681	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF69	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF710	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF717	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF737	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF75D	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF763	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF792	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF835	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF852	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF860	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
