system	permutation	sample_number	cumulative_consensus_peaks
patient	52	6	137561
patient	52	7	137643
patient	52	8	137775
patient	52	9	137998
patient	52	10	138520
patient	52	11	138619
patient	52	12	138633
patient	52	13	138782
patient	52	14	138841
patient	52	15	138873
patient	52	16	138884
patient	52	17	138893
patient	52	18	138902
patient	52	19	138902
patient	52	20	138905
patient	52	21	138921
patient	52	22	138923
patient	53	1	131866
patient	53	2	135644
patient	53	3	136733
patient	53	4	136965
patient	53	5	137829
patient	53	6	138210
patient	53	7	138265
patient	53	8	138406
patient	53	9	138425
patient	53	10	138501
patient	53	11	138654
patient	53	12	138695
patient	53	13	138778
patient	53	14	138872
patient	53	15	138876
patient	53	16	138880
patient	53	17	138884
patient	53	18	138896
patient	53	19	138896
patient	53	20	138897
patient	53	21	138917
patient	53	22	138923
patient	54	1	119684
patient	54	2	128598
patient	54	3	131377
patient	54	4	135679
patient	54	5	137713
patient	54	6	138199
patient	54	7	138266
patient	54	8	138301
patient	54	9	138409
patient	54	10	138570
patient	54	11	138656
patient	54	12	138827
patient	54	13	138852
patient	54	14	138859
patient	54	15	138875
patient	54	16	138875
patient	54	17	138890
patient	54	18	138891
patient	54	19	138894
patient	54	20	138920
patient	54	21	138921
patient	54	22	138923
patient	55	1	107032
patient	55	2	128446
patient	55	3	132800
patient	55	4	136711
patient	55	5	137869
patient	55	6	137989
patient	55	7	138527
patient	55	8	138563
patient	55	9	138584
patient	55	10	138595
patient	55	11	138613
patient	55	12	138696
patient	55	13	138754
patient	55	14	138818
patient	55	15	138834
patient	55	16	138856
patient	55	17	138872
patient	55	18	138876
patient	55	19	138900
patient	55	20	138901
patient	55	21	138907
patient	55	22	138923
patient	56	1	123022
patient	56	2	132489
patient	56	3	135838
patient	56	4	136730
patient	56	5	137099
patient	56	6	138228
patient	56	7	138341
patient	56	8	138456
patient	56	9	138653
patient	56	10	138778
patient	56	11	138788
patient	56	12	138833
patient	56	13	138840
patient	56	14	138872
patient	56	15	138881
patient	56	16	138884
patient	56	17	138896
patient	56	18	138909
patient	56	19	138909
patient	56	20	138915
patient	56	21	138923
patient	56	22	138923
patient	57	1	127011
patient	57	2	133301
patient	57	3	134569
patient	57	4	136073
patient	57	5	136672
patient	57	6	137812
patient	57	7	137893
patient	57	8	137990
patient	57	9	138541
patient	57	10	138572
patient	57	11	138743
patient	57	12	138778
patient	57	13	138792
patient	57	14	138796
patient	57	15	138866
patient	57	16	138885
patient	57	17	138892
patient	57	18	138898
patient	57	19	138906
patient	57	20	138912
patient	57	21	138923
patient	57	22	138923
patient	58	1	107318
patient	58	2	133847
patient	58	3	135072
patient	58	4	136183
patient	58	5	136631
patient	58	6	137254
patient	58	7	138112
patient	58	8	138604
patient	58	9	138716
patient	58	10	138763
patient	58	11	138804
patient	58	12	138813
patient	58	13	138831
patient	58	14	138840
patient	58	15	138885
patient	58	16	138888
patient	58	17	138892
patient	58	18	138900
patient	58	19	138904
patient	58	20	138906
patient	58	21	138923
patient	58	22	138923
patient	59	1	110233
patient	59	2	118970
patient	59	3	133665
patient	59	4	136231
patient	59	5	136827
patient	59	6	137305
patient	59	7	137452
patient	59	8	137868
patient	59	9	137941
patient	59	10	138130
patient	59	11	138596
patient	59	12	138763
patient	59	13	138812
patient	59	14	138820
patient	59	15	138825
patient	59	16	138860
patient	59	17	138875
patient	59	18	138885
patient	59	19	138890
patient	59	20	138897
patient	59	21	138923
patient	59	22	138923
patient	60	1	112011
patient	60	2	130006
patient	60	3	136172
patient	60	4	137146
patient	60	5	137411
patient	60	6	137939
patient	60	7	138200
patient	60	8	138300
patient	60	9	138319
patient	60	10	138436
patient	60	11	138612
patient	60	12	138681
patient	60	13	138684
patient	60	14	138731
patient	60	15	138771
patient	60	16	138773
patient	60	17	138873
patient	60	18	138882
patient	60	19	138908
patient	60	20	138918
patient	60	21	138921
patient	60	22	138923
patient	61	1	107318
patient	61	2	131566
patient	61	3	132473
patient	61	4	136309
patient	61	5	136652
patient	61	6	137939
patient	61	7	138319
patient	61	8	138359
patient	61	9	138571
patient	61	10	138628
patient	61	11	138703
patient	61	12	138732
patient	61	13	138787
patient	61	14	138792
patient	61	15	138833
patient	61	16	138840
patient	61	17	138847
patient	61	18	138886
patient	61	19	138899
patient	61	20	138904
patient	61	21	138923
patient	61	22	138923
patient	62	1	119684
patient	62	2	131212
patient	62	3	133026
patient	62	4	136894
patient	62	5	138271
patient	62	6	138450
patient	62	7	138614
patient	62	8	138740
patient	62	9	138762
patient	62	10	138776
patient	62	11	138816
patient	62	12	138837
patient	62	13	138840
patient	62	14	138875
patient	62	15	138893
patient	62	16	138894
patient	62	17	138902
patient	62	18	138902
patient	62	19	138904
patient	62	20	138921
patient	62	21	138921
patient	62	22	138923
patient	63	1	114206
patient	63	2	122548
patient	63	3	128527
patient	63	4	130359
patient	63	5	134074
patient	63	6	136665
patient	63	7	137989
patient	63	8	138120
patient	63	9	138591
patient	63	10	138702
patient	63	11	138772
patient	63	12	138835
patient	63	13	138883
patient	63	14	138903
patient	63	15	138914
patient	63	16	138915
patient	63	17	138915
patient	63	18	138917
patient	63	19	138923
patient	63	20	138923
patient	63	21	138923
