system	sample_1	sample_2	pearson_r
patient	TCGA-93-A4JO	TCGA-4B-A93V	0.637575088244449
patient	TCGA-93-A4JO	TCGA-73-A9RS	0.706774706253709
patient	TCGA-93-A4JO	TCGA-86-A4D0	0.49638812325897
patient	TCGA-93-A4JO	TCGA-86-A4P7	0.821319044356476
patient	TCGA-93-A4JO	TCGA-86-A4P8	0.849953493236982
patient	TCGA-93-A4JO	TCGA-91-A4BC	0.783370007461783
patient	TCGA-93-A4JO	TCGA-91-A4BD	0.799706222528824
patient	TCGA-93-A4JO	TCGA-93-A4JN	0.827052617908073
patient	TCGA-93-A4JO	TCGA-93-A4JO	1.0
patient	TCGA-93-A4JO	TCGA-93-A4JQ	0.845752039285133
patient	TCGA-93-A4JO	TCGA-L4-A4E6	0.767882698204595
patient	TCGA-93-A4JO	TCGA-L9-A8F4	0.905051765634352
patient	TCGA-93-A4JO	TCGA-MP-A4SV	0.741464844178692
patient	TCGA-93-A4JO	TCGA-MP-A4T4	0.748438907049323
patient	TCGA-93-A4JO	TCGA-MP-A4T7	0.798260912537381
patient	TCGA-93-A4JO	TCGA-MP-A4TE	0.592470760966618
patient	TCGA-93-A4JO	TCGA-MP-A4TF	0.771966459824014
patient	TCGA-93-A4JO	TCGA-NJ-A4YG	0.822590190729029
patient	TCGA-93-A4JQ	TCGA-44-3918	0.788910441699513
patient	TCGA-93-A4JQ	TCGA-44-6146	0.699598051578738
patient	TCGA-93-A4JQ	TCGA-44-A47F	0.608829879905762
patient	TCGA-93-A4JQ	TCGA-49-AARO	0.798474642032966
patient	TCGA-93-A4JQ	TCGA-4B-A93V	0.581216510630577
patient	TCGA-93-A4JQ	TCGA-73-A9RS	0.674748938828861
patient	TCGA-93-A4JQ	TCGA-86-A4D0	0.48586496884985
patient	TCGA-93-A4JQ	TCGA-86-A4P7	0.76110540082082
patient	TCGA-93-A4JQ	TCGA-86-A4P8	0.777731511979323
patient	TCGA-93-A4JQ	TCGA-91-A4BC	0.773524761211105
patient	TCGA-93-A4JQ	TCGA-91-A4BD	0.738581157910866
patient	TCGA-93-A4JQ	TCGA-93-A4JN	0.766276230747433
patient	TCGA-93-A4JQ	TCGA-93-A4JO	0.845752039285133
patient	TCGA-93-A4JQ	TCGA-93-A4JQ	1.0
patient	TCGA-93-A4JQ	TCGA-L4-A4E6	0.807522768429642
patient	TCGA-93-A4JQ	TCGA-L9-A8F4	0.846932014882847
patient	TCGA-93-A4JQ	TCGA-MP-A4SV	0.76699452290604
patient	TCGA-93-A4JQ	TCGA-MP-A4T4	0.813591128022546
patient	TCGA-93-A4JQ	TCGA-MP-A4T7	0.835519124674316
patient	TCGA-93-A4JQ	TCGA-MP-A4TE	0.594139935918525
patient	TCGA-93-A4JQ	TCGA-MP-A4TF	0.782078804343602
patient	TCGA-93-A4JQ	TCGA-NJ-A4YG	0.80993786256812
patient	TCGA-L4-A4E6	TCGA-44-3918	0.786254385613915
patient	TCGA-L4-A4E6	TCGA-44-6146	0.662661204298743
patient	TCGA-L4-A4E6	TCGA-44-A47F	0.620535216831611
patient	TCGA-L4-A4E6	TCGA-49-AARO	0.815644285113648
patient	TCGA-L4-A4E6	TCGA-4B-A93V	0.552611380993104
patient	TCGA-L4-A4E6	TCGA-73-A9RS	0.602662686973368
patient	TCGA-L4-A4E6	TCGA-86-A4D0	0.436682646585483
patient	TCGA-L4-A4E6	TCGA-86-A4P7	0.738185454209399
patient	TCGA-L4-A4E6	TCGA-86-A4P8	0.785450751004748
patient	TCGA-L4-A4E6	TCGA-91-A4BC	0.694732226308611
patient	TCGA-L4-A4E6	TCGA-91-A4BD	0.767086867325051
patient	TCGA-L4-A4E6	TCGA-93-A4JN	0.769553180138596
patient	TCGA-L4-A4E6	TCGA-93-A4JO	0.767882698204595
patient	TCGA-L4-A4E6	TCGA-93-A4JQ	0.807522768429642
patient	TCGA-L4-A4E6	TCGA-L4-A4E6	1.0
patient	TCGA-L4-A4E6	TCGA-L9-A8F4	0.775740509619527
patient	TCGA-L4-A4E6	TCGA-MP-A4SV	0.787071455875491
patient	TCGA-L4-A4E6	TCGA-MP-A4T4	0.811571298279483
patient	TCGA-L4-A4E6	TCGA-MP-A4T7	0.758626902618042
patient	TCGA-L4-A4E6	TCGA-MP-A4TE	0.571654622542352
patient	TCGA-L4-A4E6	TCGA-MP-A4TF	0.749735328578078
patient	TCGA-L4-A4E6	TCGA-NJ-A4YG	0.799040003080253
patient	TCGA-L9-A8F4	TCGA-44-3918	0.780665586351612
patient	TCGA-L9-A8F4	TCGA-44-6146	0.74267763986584
