analysis_definition	system	sample_id	TF	promoter_accessible
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	SAMD11	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	SMAD6	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	SMAD7	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	SP110	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	SP5	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	SPDEF	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	TBX15	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	TBX4	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	TBXT	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	TCF21	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	TFCP2L1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	TOX3	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	TP53INP1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	VDR	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	VENTX	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	VSX1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	WTIP	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	WWC1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	WWC2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	XBP1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	ZBTB10	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	ZBTB16	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	ZBTB18	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	ZBTB42	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	ZBTB46	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	ZFHX2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	ZFP2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	ZFP57	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	ZMYND15	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	ZNF117	TRUE
