TF	NES	p_value	FDR	regulon_size
DMRT1	-2.86819942139642	0.00412815242174218	0.0323440857858591	21
DMRT2	-3.37885502443336	0.000727883817038768	0.0193395427209346	109
DMRT3	-3.06247738635361	0.00219513060739831	0.0240875075368036	35
DMRTA1	2.89953464347037	0.00373717044018512	0.0305479204552964	15
DMRTA2	-0.647935074321489	0.517026944034349	0.832801190572535	4
DMRTB1	-0.00284349169402747	0.997731224935907	0.999927879915109	4
DMRTC2	0.796579215778312	0.425695452276609	0.767831636487575	13
DMTF1	-0.318307319838521	0.750251832422886	0.952760818326182	74
DNAJB1	-2.93008549156244	0.00338868759709759	0.0288397127994866	33
DNMT3A	-0.584284074489772	0.559029204905614	0.859917246820582	13
DNMT3B	-2.73159661065882	0.00630282588455957	0.0429019470379512	36
DNMT3L	0.245082844822694	0.806392285774982	0.969911984135431	6
DOT1L	-1.40279087373674	0.160679209235025	0.446875141473586	68
DPF1	-3.20082258882685	0.0013703587853498	0.0217633093901877	46
DPF2	-0.442117133438215	0.658404446706195	0.906687616916173	19
DPF3	0.582668972196901	0.560116164507782	0.859917246820582	48
DPRX	-1.00801027973195	0.31344952726671	0.65906455576079	11
DR1	-2.86832870787763	0.00412646572840547	0.0323440857858591	61
DRAP1	-0.458121984714639	0.646864805041271	0.902600240934727	95
DRGX	2.49701697434919	0.0125242961431153	0.0703646245505157	15
DUX4L4	-0.411584896375328	0.680643703834874	0.919649350068973	7
DUX4L9	0.0105904416146572	0.991550208095067	0.999927879915109	8
DUXA	0.412594287109849	0.679903887550534	0.919649350068973	7
DYRK1A	0.807783516075975	0.419215216011121	0.767831636487575	24
DYRK1B	0.695697901103508	0.486618040257208	0.802762273414172	4
E2F1	-1.56465629371735	0.117663521715743	0.360165170129897	69
E2F2	-2.85283390538266	0.00433312630464122	0.0325877064408973	92
E2F3	-1.15470210815168	0.248212435937011	0.585676347075814	25
E2F4	-0.313212274151044	0.754119393835968	0.952760818326182	78
E2F5	2.98465189730007	0.00283901204692777	0.0264506647464722	46
E2F6	-1.40358722885404	0.160441800297323	0.446833751729576	77
E2F7	-3.13061312379518	0.00174441799590916	0.0221956914311769	182
E2F8	-1.9136509405808	0.0556647714977276	0.213718663800071	62
E4F1	-0.157362075505813	0.874959500391468	0.999927879915109	196
EAF1	1.07238681910098	0.283546325753378	0.631220645357852	11
EAF2	-0.799765588092011	0.423846624200164	0.767831636487575	26
