dataset	source_drug_id	drug_name	canonical_drug	pubchem_cid	inchikey	target	pathway_or_moa
PRISM	Indolo[2,1-b]quinazoline-6,12-dione	Indolo[2,1-b]quinazoline-6,12-dione	CID:73549	73549	VQQVWGVXDIPORV-UHFFFAOYSA-N	IDO1	cyclooxygenase inhibitor
PRISM	Azeloyl diethyl salicylate	Azeloyl diethyl salicylate	CID:4342838	4342838	LIBAUACOIKWWKP-UHFFFAOYSA-N		
PRISM	Tucatinib	Tucatinib	CID:51039094	51039094	SDEAXTCZPQIFQM-UHFFFAOYSA-N	ERBB2	EGFR inhibitor
PRISM	TW 37	TW 37	CID:11455910	11455910	PQAPVTKIEGUPRN-UHFFFAOYSA-N	BCL2, BCL2L1, MCL1	BCL inhibitor
PRISM	TWS119	TWS119	CID:9549289	9549289	VPVLEBIVXZSOMQ-UHFFFAOYSA-N	GSK3B, JUN, MYC	glycogen synthase kinase inhibitor
PRISM	tyloxapol	tyloxapol	CID:5610	5610	DZGWFCGJZKJUFP-UHFFFAOYSA-N	LPL, NFKB2	NFkB pathway inhibitor
PRISM	Malonoben	Malonoben	CID:5614	5614	MZOPWQKISXCCTP-UHFFFAOYSA-N		protein tyrosine kinase inhibitor, tyrosine kinase inhibitor
PRISM	6,7-Dimethoxy-2-phenylquinoxaline	6,7-Dimethoxy-2-phenylquinoxaline	CID:2049	2049	QNOXYUNHIGOWNY-UHFFFAOYSA-N	FLT3	FLT3 inhibitor
PRISM	AG1478	AG1478	CID:2051	2051	GFNNBHLJANVSQV-UHFFFAOYSA-N	EGFR, MAPK14	EGFR inhibitor
PRISM	Tyrphostin B48	Tyrphostin B48	CID:5328771	5328771	HKHOVJYOELRGMV-XYOKQWHBSA-N	EGFR	EGFR inhibitor
PRISM	Tyrphostin A46	Tyrphostin A46	CID:5328768	5328768	USOXQZNJFMKTKJ-XVNBXDOJSA-N	EGFR	tyrosine kinase inhibitor
PRISM	U-0126	U-0126	CID:3006531	3006531	DVEXZJFMOKTQEZ-JYFOCSDGSA-N	AKT1, CHEK1, GSK3B, LCK, MAP2K1, MAP2K2, MAP2K7, MAPK1, MAPK11, MAPK12, MAPK14, MAPK8, PRKCA, RAF1, ROCK1, RPS6KB1, SGK1	MEK inhibitor
PRISM	3beta-(2-Diethylaminoethoxy)androst-5-en-17-one hydrochloride	3beta-(2-Diethylaminoethoxy)androst-5-en-17-one hydrochloride	CID:9954082	9954082	GZFYZYBWLCYBMI-MYZJJQSMSA-N		oxidosqualene cyclase inhibitor
PRISM	Ubenimex	Ubenimex	CID:72172	72172	VGGGPCQERPFHOB-RDBSUJKOSA-N	LTA4H, RNPEP	leukotriene synthesis inhibitor
PRISM	UH-232-(+)	UH-232-(+)	CID:6604756	6604756	BTOJYCTUJJHANF-WMLDXEAASA-N	DRD2, DRD3, DRD4, HTR1A	dopamine receptor antagonist
PRISM	UK-383367	UK-383367	CID:9818682	9818682	ARJCBSRIPGJMAD-LLVKDONJSA-N	BMP1	Procollagen C-Endopeptidase Inhibitors
PRISM	Ulipristal	Ulipristal	CID:13559281	13559281	HKDLNTKNLJPAIY-WKWWZUSTSA-N	PGR	progesterone receptor antagonist
