component	eligibility_required	anchor_program	left_run	left_k	left_program	right_run	right_k	right_program	expected_right_program	connects_expected_program	cosine	top_gene_jaccard	cosine_null_q99	jaccard_null_q99	exceeds_both_nulls	component_pass	source_file
cross_seed	True	8	seed_20260812	10.0	8.0	seed_20260813	10.0	8.0		True	0.9999861660120912	1.0	0.0415525974274892	0.0204081632653061	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
cell_resample	True	8	seed_20260812	10.0	8.0	cell_resample_20260813	10.0	7.0		True	0.9835076263831342	0.8867924528301887	0.0445423284711832	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
holdout_A	True	8	seed_20260812	10.0	8.0	patient_holdout_A	10.0	8.0		True	0.9712760068201766	0.8867924528301887	0.0393141266082818	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
holdout_B	True	8	seed_20260812	10.0	8.0	patient_holdout_B	10.0	8.0		True	0.9627371276564278	0.7543859649122807	0.0303334754263743	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
exclude_high_unresolved	True	8	primary_seed_20260812	10.0	8.0	exclude_high_unresolved	10.0	5.0		True	0.9788081037403592	0.9230769230769232	0.0390430173505663	0.0102040816326529	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_sensitivity_v1/P0_cnmf_sensitivity_same_k_pairs.tsv
include_one_method	True	8	primary_seed_20260812	10.0	8.0	include_one_method	10.0	7.0		True	0.9605097535484228	0.7543859649122807	0.0355291457260045	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_sensitivity_v1/P0_cnmf_sensitivity_same_k_pairs.tsv
holdout_A_to_B_bridge	True	8	patient_holdout_A	10.0	8.0	patient_holdout_B	10.0	8.0	8.0	True	0.9318467905683496	0.6949152542372882	0.0286751484030765	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
adjacent_K9_descriptive	False	8	seed_20260812	9.0	5.0	seed_20260812	10.0	8.0		True	0.9756230914148284	0.8867924528301887	0.043335381820764	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
adjacent_K11_descriptive	False	8	seed_20260812	10.0	8.0	seed_20260812	11.0	8.0		True	0.9992663017585346	0.9607843137254902	0.0421526941309638	0.0204081632653061	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
cross_seed	True	9	seed_20260812	10.0	9.0	seed_20260813	10.0	9.0		True	0.9998718161042668	1.0	0.0415525974274892	0.0204081632653061	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
